1	193967	1939.670	2199	1678 
2	188890	1888.900	2209	1665 
3	184855	1848.550	2236	1621 
4	183480	1834.800	2177	1561 
5	178885	1788.850	2075	1566 
6	174256	1742.560	2056	1529 
7	173890	1738.900	2032	1529 
8	172637	1726.370	2028	1500 
9	169780	1697.800	2123	1328 
10	167578	1675.780	2022	1328 
11	166230	1662.300	2009	1315 
12	161926	1619.260	1944	1178 
13	155374	1553.740	2114	1173 
14	151387	1513.870	2015	1216 
15	149434	1494.340	1828	1204 
16	141724	1417.240	1777	1179 
17	139817	1398.170	1780	1179 
18	135886	1358.860	1712	1179 
19	134432	1344.320	1721	1179 
20	129059	1290.590	1653	1166 
21	126243	1262.430	1685	1166 
22	128347	1283.470	1618	1132 
23	127959	1279.590	1561	1110 
24	125470	1254.700	1560	1110 
25	124754	1247.540	1593	1110 
26	122338	1223.380	1665	1094 
27	120840	1208.400	1481	1094 
28	121224	1212.240	1605	1086 
29	120667	1206.670	1459	1094 
30	116985	1169.850	1455	1069 
31	116175	1161.750	1442	1069 
32	116081	1160.810	1492	1068 
33	118127	1181.270	1368	1066 
34	115522	1155.220	1431	1066 
35	115813	1158.130	1532	1051 
36	114196	1141.960	1418	1051 
37	112861	1128.610	1375	1050 
38	114437	1144.370	1424	1047 
39	115015	1150.150	1522	1049 
40	115303	1153.030	1449	1050 
41	115338	1153.380	1427	1050 
42	113484	1134.840	1363	1055 
43	115374	1153.740	1539	1047 
44	115442	1154.420	1504	1051 
45	117474	1174.740	1521	1044 
46	118468	1184.680	1419	1044 
47	116403	1164.030	1603	1042 
48	116726	1167.260	1534	1037 
49	116781	1167.810	1457	1037 
50	115601	1156.010	1439	1037 
51	113823	1138.230	1553	1037 
52	116648	1166.480	1468	1037 
53	116055	1160.550	1436	1037 
54	114705	1147.050	1471	1037 
55	112480	1124.800	1355	1037 
56	112218	1122.180	1418	1032 
57	109163	1091.630	1536	1032 
58	110309	1103.090	1331	1032 
59	110747	1107.470	1315	1032 
60	108972	1089.720	1366	1032 
61	108537	1085.370	1320	1032 
62	109040	1090.400	1515	1029 
63	109051	1090.510	1431	1029 
64	108977	1089.770	1470	1031 
65	110511	1105.110	1289	1028 
66	111873	1118.730	1718	1028 
67	109883	1098.830	1357	1028 
68	107163	1071.630	1323	1028 
69	106627	1066.270	1350	1023 
70	108903	1089.030	1547	1023 
71	109252	1092.520	1353	1023 
72	109245	1092.450	1327	1023 
73	111582	1115.820	1332	1022 
74	108523	1085.230	1354	1022 
75	110803	1108.030	1338	1022 
76	111063	1110.630	1402	1022 
77	109312	1093.120	1308	1022 
78	111450	1114.500	1620	1022 
79	111880	1118.800	1397	1020 
80	108925	1089.250	1397	1020 
81	108857	1088.570	1387	1020 
82	108319	1083.190	1334	1017 
83	107212	1072.120	1537	1017 
84	109855	1098.550	1463	1017 
85	111589	1115.890	1443	1017 
86	108105	1081.050	1395	1015 
87	108778	1087.780	1330	1015 
88	109215	1092.150	1534	1015 
89	106294	1062.940	1324	1015 
90	110615	1106.150	1289	1015 
91	104929	1049.290	1225	1015 
92	105814	1058.140	1375	1015 
93	105853	1058.530	1301	1015 
94	103553	1035.530	1202	1015 
95	103807	1038.070	1308	1015 
96	104783	1047.830	1296	1015 
97	104754	1047.540	1262	1014 
98	105183	1051.830	1260	1014 
99	107342	1073.420	1319	1014 
100	110749	1107.490	1370	1014 
101	108396	1083.960	1458	1014 
102	108750	1087.500	1410	1008 
103	108209	1082.090	1393	1014 
104	108423	1084.230	1318	1014 
105	103972	1039.720	1290	1007 
106	104921	1049.210	1282	1007 
107	107778	1077.780	1374	1007 
108	107572	1075.720	1327	1007 
109	104968	1049.680	1326	1007 
110	104899	1048.990	1286	1007 
111	104693	1046.930	1305	1007 
112	102386	1023.860	1280	999 
113	104609	1046.090	1303	999 
114	106144	1061.440	1397	999 
115	105329	1053.290	1341	999 
116	102981	1029.810	1332	999 
117	104959	1049.590	1375	999 
118	104234	1042.340	1271	997 
119	103924	1039.240	1295	997 
120	104699	1046.990	1334	997 
121	107269	1072.690	1328	997 
122	106117	1061.170	1284	997 
123	102239	1022.390	1272	997 
124	102572	1025.720	1317	997 
125	104142	1041.420	1290	997 
126	102651	1026.510	1247	997 
127	102312	1023.120	1254	996 
128	102936	1029.360	1321	996 
129	104074	1040.740	1303	995 
130	105533	1055.330	1358	995 
131	102805	1028.050	1351	995 
132	104660	1046.600	1270	995 
133	103644	1036.440	1323	995 
134	104533	1045.330	1303	995 
135	104861	1048.610	1342	995 
136	105524	1055.240	1243	995 
137	103160	1031.600	1292	995 
138	102707	1027.070	1270	995 
139	103054	1030.540	1270	995 
140	102392	1023.920	1318	995 
141	102172	1021.720	1279	995 
142	101681	1016.810	1303	995 
143	102570	1025.700	1269	995 
144	104734	1047.340	1407	995 
145	104821	1048.210	1303	995 
146	105928	1059.280	1302	995 
147	102630	1026.300	1243	995 
